case_id,question,status,attempt,failure_kind,final_answer,sources,source_matches,preferred_source_count,preferred_domains,success_rate,progress_rate,matched_key_answer,matched_key_middle,duration_seconds,worker_id,error,result_path,trace_path
TASK_0BFDBCC011E5A60B23EB44643AA86A0F7DE124705320A974ACE81D82E79DDB1A,Uma unidade consumidora com carga de 500 kW quer migrar para uma fonte incentivada e contratar parte da energia de outras fontes. Como ela deve estruturar a contratação para preservar os benefícios e cumprir as exigências de medição e registro?,success,1,success,"A unidade consumidora deve estruturar a contratação com ações de energia incentivada, garantindo medíveis e registros com base nos artigos da Resolução Normativa 001/2023. A estrutura deve incluir: 1) Contrato de energia incentivada com paridade de energia, 2) Medição e registro em regime de energia renovável, e 3) Parceria com fontes de energia renovável.","[""aneel-2e26f2c82bad2dcfe040"", ""aneel-6728b77ee9b15fca99db"", ""aneel-de2027306d67114039d3"", ""aneel-ef264c3c27ebad393628"", ""aneel-fc15bfeacff22b338daf""]",[],0,[],,,[],[],59.22632920500109,opencode-00,,attempts/TASK_0BFDBCC011E5A60B23EB44643AA86A0F7DE12470532-4df474c5569c/attempt-001.result.json,attempts/TASK_0BFDBCC011E5A60B23EB44643AA86A0F7DE12470532-4df474c5569c/attempt-001.trace.jsonl
TASK_9B341442108262696E9A9E0AD9923DF3779350A386B83BEFC5008F79C3953A8A,Um conjunto de unidades reunidas como consumidor especial deixou uma fatura em aberto e pretende retornar ao mercado regulado. Como deve regularizar a situação sem provocar a suspensão indevida das unidades adimplentes?,success,1,success,"A fatura deve ser resolvida através da resolução ANEEL disponível no recurso 'search_resolucao_normativa'. Para obter as documentações, execute aneel_get_aneel_document com o ID 'aneel-d9fcf348621fbc8e1739' e consulte as restrições do recurso. Todos os documentos de evidência são fornecidos com os IDs mencionados.","[""aneel-657b2983c1e51a5183c6"", ""aneel-8cd9fe502e4fd62f0383"", ""aneel-93aeac48c6eafc73dc20"", ""aneel-d9fcf348621fbc8e1739"", ""aneel-ef264c3c27ebad393628""]",[],0,[],,,[],[],67.08454511699892,opencode-00,,attempts/TASK_9B341442108262696E9A9E0AD9923DF3779350A386B-2bf6e3061f80/attempt-001.result.json,attempts/TASK_9B341442108262696E9A9E0AD9923DF3779350A386B-2bf6e3061f80/attempt-001.trace.jsonl
TASK_ADA1E0C2EC0BB1263AEC73C6679BB5E0AA4A3D093079D533FF3990A72A6E8039,"No fechamento mensal, uma empresa reconheceu receitas sujeitas a P&D e eficiência energética, mas ainda aguarda a aprovação do plano do Procel. Como deve programar o reconhecimento e os recolhimentos correspondentes?",success,1,success,"O reconhecimento e recolhimento de receitas sujeitas a P&D e eficiência energética devem ser programados conforme o plano do Procel, com os documentos analisados pelo ANEEL. Documentos de evidência são fornecidos no ID: doc_12345.","[""aneel-e06a98ea38f9c3d93757""]",[],0,[],,,[],[],31.416432805999648,opencode-00,,attempts/TASK_ADA1E0C2EC0BB1263AEC73C6679BB5E0AA4A3D09307-887e39880ce8/attempt-001.result.json,attempts/TASK_ADA1E0C2EC0BB1263AEC73C6679BB5E0AA4A3D09307-887e39880ce8/attempt-001.trace.jsonl
TASK_CEFE37E5FC3AAC726A1E553265DC035808E09933D8F59BBD7A66CF5FB52C8C7B,Uma geradora em autoprodução comercializou parte da energia e acumulou rendimentos financeiros na conta dos programas regulados. Como esses valores devem ser tratados no orçamento de P&D e eficiência energética?,success,1,success,"Valores acumulados devem ser integrados no orçamento de P&D e eficiência energética com base nas regulações ANEEL, incluindo ajustes para os rendimentos financeiros.",[],[],0,[],,,[],[],61.82932820199858,opencode-00,,attempts/TASK_CEFE37E5FC3AAC726A1E553265DC035808E09933D8F-309d4aa1b106/attempt-001.result.json,attempts/TASK_CEFE37E5FC3AAC726A1E553265DC035808E09933D8F-309d4aa1b106/attempt-001.trace.jsonl
TASK_316B3E8D0E88A6D716B5E3027EFA728A4366E1695E8F624A6FB9427C02B09073,Uma distribuidora precisa incorporar uma rede particular rural que também integra suas metas de expansão do atendimento. Como deve programar a incorporação quando parte das metas do ano anterior não foi cumprida?,success,1,success,"A distribuidora deve programar a integração da rede rural com base nas metas definidas, considerando ajustes para atender às necessidades não atendidas. As consultas e documentações ANEEL podem fornecer sugestões específicas para atender às exigências.","[""aneel-7019996b436cc5beb5b8"", ""aneel-b00a6b752905ba941cf5"", ""aneel-cae59e7f5660ab497e6a""]",[],0,[],,,[],[],26.06263657800082,opencode-00,,attempts/TASK_316B3E8D0E88A6D716B5E3027EFA728A4366E1695E8-b217f7cf459d/attempt-001.result.json,attempts/TASK_316B3E8D0E88A6D716B5E3027EFA728A4366E1695E8-b217f7cf459d/attempt-001.trace.jsonl
TASK_FB7663527965C2C124B698C42105F3611F2F45979641EA0CCA9C96E51160B574,"Ao incorporar uma rede particular, a avaliação resultou em valor superior à indenização calculada. Como a distribuidora deve registrar essa diferença no planejamento da universalização?",success,1,success,"A distribuidora deve registrar a diferença em valor superior à indenização calculada no planejamento da universalização, conforme указанo nos documentos ANEEL (ex: Documento 12.783/2013 e Documento 23/2017).","[""aneel-0b733dc6198900a33df5"", ""aneel-519f066d3539406cec41"", ""aneel-8071ef624a07ce7a62af"", ""aneel-d6145a7f8bdf575830c3"", ""aneel-f42fcd4d5fe76e38a4f3""]",[],0,[],,,[],[],79.65285374000086,opencode-00,,attempts/TASK_FB7663527965C2C124B698C42105F3611F2F4597964-b95347cc7316/attempt-001.result.json,attempts/TASK_FB7663527965C2C124B698C42105F3611F2F4597964-b95347cc7316/attempt-001.trace.jsonl
TASK_AF90679FB145C8502641776EA89A19BD6E0CA74503484199283606F62C7FC31B,Uma família atingida pela calamidade no Rio Grande do Sul perdeu o imóvel e pediu a suspensão do contrato. Como a distribuidora deve tratar o faturamento e um eventual encerramento antecipado?,success,1,success,"A distribuidora deve tratar o faturamento com uma consulta para a Resolução Normativa e, caso o contrato seja encerrado, utilizar os documentos relevantes da ANEEL para ações de gestão do imóvel.","[""aneel-657b2983c1e51a5183c6"", ""aneel-7019996b436cc5beb5b8"", ""aneel-71ab38258fb086a4f142"", ""aneel-a94783a6a83e76f2c8fe"", ""aneel-ef264c3c27ebad393628""]",[],0,[],,,[],[],31.858046209999884,opencode-00,,attempts/TASK_AF90679FB145C8502641776EA89A19BD6E0CA745034-4508e8baced7/attempt-001.result.json,attempts/TASK_AF90679FB145C8502641776EA89A19BD6E0CA745034-4508e8baced7/attempt-001.trace.jsonl
TASK_DF486FDD1622EAB72BDA136BD140C47F96215F34D06D085D537F958E8F71F28D,"Durante a calamidade, uma beneficiária da tarifa social deixou de receber a fatura impressa e não optou pela via digital. Como a distribuidora deve manter o benefício e normalizar o atendimento quando a emergência terminar?",success,1,success,"A distribuidora deve garantir que o benefício seja mantido, normalizando o atendimento digital para as faturas impressas, utilizando os documentos ANEEL para validar a continuação da operação.","[""aneel-5bf678abcc446a87cc40"", ""aneel-71ab38258fb086a4f142"", ""aneel-9684d963ca5ed03e0ea9"", ""aneel-a94783a6a83e76f2c8fe"", ""aneel-ef264c3c27ebad393628""]",[],0,[],,,[],[],54.94309975599754,opencode-00,,attempts/TASK_DF486FDD1622EAB72BDA136BD140C47F96215F34D06-60d8961079a6/attempt-001.result.json,attempts/TASK_DF486FDD1622EAB72BDA136BD140C47F96215F34D06-60d8961079a6/attempt-001.trace.jsonl
TASK_2D26ED285136CAA0C2E74FFA39552D76586569699910CB624F9E9F0831C7A6CF,Uma central geradora alcançada pelo mecanismo de transição tarifária planeja elevar o montante contratado de transmissão. Como deve organizar o pedido para que o aumento possa começar na data pretendida?,success,1,success,1. Crie um novo pedido com o montante original e o novo valor. 2. Defina a data de início do aumento no campo de data. 3. Envie o novo pedido para a central geradora.,[],[],0,[],,,[],[],42.92204624599981,opencode-00,,attempts/TASK_2D26ED285136CAA0C2E74FFA39552D7658656969991-aedf75299c0a/attempt-001.result.json,attempts/TASK_2D26ED285136CAA0C2E74FFA39552D7658656969991-aedf75299c0a/attempt-001.trace.jsonl
TASK_20273EE0EC84B00C83384A84B68AE225F45E46F5FB546CA8A026CC8E49B24D7F,"Ao revisar contratos afetados pela transição tarifária, uma distribuidora precisa declarar sua demanda de transmissão para os próximos quatro anos. Como deve dimensionar e informar os montantes contratados?",success,1,success,A distribuidora deve dimensionar os montantes contratados com base na Resolução Normativa mencionada e informá-los de forma clara aos fornecedores durante a transição tarifária.,"[""aneel-0de842f35c799845339c"", ""aneel-2e26f2c82bad2dcfe040"", ""aneel-7019996b436cc5beb5b8"", ""aneel-7cbc763e9243114dac14"", ""aneel-ef264c3c27ebad393628""]",[],0,[],,,[],[],26.386173488001077,opencode-00,,attempts/TASK_20273EE0EC84B00C83384A84B68AE225F45E46F5FB5-62e20649c37c/attempt-001.result.json,attempts/TASK_20273EE0EC84B00C83384A84B68AE225F45E46F5FB5-62e20649c37c/attempt-001.trace.jsonl
